"geneNames"	"SNP_NUM"	"nsSNP"
"YAL068C"	0	"NA"
"YAL067W-A"	409	"409"
"YAL067C"	9554	"4512"
"YAL065C"	2537	"1543"
"YAL064W-B"	128	"0"
"YAL064C-A"	692	"490"
"YAL064W"	802	"671"
"YAL063C-A"	352	"279"
"YAL063C"	1763	"874"
"YAL062W"	10614	"258"
"YAL061W"	8764	"2675"
"YAL060W"	13225	"3220"
"YAL059W"	5995	"2601"
"YAL058W"	13612	"7511"
"YAL056W"	17207	"5121"
"YAL055W"	7208	"2593"
"YAL054C"	9978	"1673"
"YAL053W"	15465	"1337"
"YAL051W"	25908	"4394"
"YAL049C"	2785	"640"
"YAL048C"	20662	"1247"
"YAL047C"	14894	"4980"
"YAL046C"	1794	"121"
"YAL044W-A"	1044	"692"
"YAL044C"	1195	"81"
"YAL043C"	15147	"3552"
"YAL042W"	4624	"1523"
"YAL041W"	6637	"835"
"YAL040C"	9569	"2562"
"YAL039C"	2278	"632"
"YAL038W"	820	"133"
"YAL037C-A"	606	"562"
"YAL037W"	2800	"1674"
"YAL036C"	2783	"80"
"YAL035W"	9322	"4293"
"YAL034W-A"	1858	"682"
"YAL034C"	2583	"660"
"YAL033W"	467	"91"
"YAL032C"	3095	"1883"
"YAL031C"	6038	"2613"
"YAL030W"	1126	"25"
"YAL029C"	23864	"9010"
"YAL028W"	6141	"3319"
"YAL027W"	5619	"1369"
"YAL026C"	6530	"2245"
"YAL025C"	767	"73"
"YAL024C"	9402	"2903"
"YAL023C"	4395	"402"
"YAL022C"	4882	"681"
"YAL021C"	9988	"3719"
"YAL020C"	4188	"1922"
"YAL019W"	10002	"2494"
"YAL018C"	4373	"924"
"YAL017W"	9369	"3123"
"YAL016W"	3924	"305"
"YAL015C"	3017	"718"
"YAL014C"	2520	"1306"
"YAL013W"	5380	"2805"
"YAL012W"	3224	"111"
"YAL011W"	13086	"4160"
"YAL010C"	8688	"4405"
"YAL009W"	4146	"1548"
"YAL008W"	5301	"1802"
"YAL007C"	601	"335"
"YAL005C"	3734	"1020"
"YAL003W"	1394	"12"
"YAL002W"	8141	"4859"
"YAL001C"	11758	"3929"
"YAR002W"	7902	"4583"
"YAR002C-A"	1292	"40"
"YAR003W"	1931	"307"
"YAR007C"	10431	"1021"
"YAR008W"	2670	"1125"
"YAR014C"	5739	"2227"
"YAR015W"	5436	"102"
"YAR018C"	2292	"228"
"YAR019C"	9208	"2220"
"YAR020C"	1816	"816"
"YAR023C"	4009	"3104"
"YAR027W"	3615	"3414"
"YAR028W"	5532	"4131"
"YAR029W"	1812	"1367"
"YAR031W"	5236	"4275"
