"locus"	"pdbid"	"qstart2"	"qend2"	"sstart2"	"send2"	"strain_type"	"p_value"
"YER061C"	"3_439_4r8e.1.A_5b3b90003b85d17a599ba0f5"	"NA"	"NA"	3	439	"Wine"	"0.4455"
"YLR359W"	"1_476_5vkw.1.A_5b3d1a5d9ffd1273b2e6e225"	"NA"	"NA"	1	476	"Wine"	"0.8251"
"YLR359W"	"3_478_5nx9.1.A_5b3d1a5d9ffd1273b2e6e220"	"NA"	"NA"	3	478	"Wine"	"0.8917"
"YNR067C"	"401_1106_4k35.1.A_5b48e1c1732c1ee0700f871b"	"NA"	"NA"	401	1106	"Wine"	"0.8975"
"YNR067C"	"399_1115_5xbz.1.A_5b48e1c1732c1ee0700f8717"	"NA"	"NA"	399	1115	"Wine"	"0.8801"
"YJL121C"	"6_234_3ovp.1.B_5b3d82ebd60c599872db60f0"	"NA"	"NA"	6	234	"Wine"	"0.9951"
"YML004C"	"25_320_5d7z.1.A_5b3ac4c11a200b7f94e660f2"	"NA"	"NA"	25	320	"Wine"	"0.1624"
"YML004C"	"6_165_4x2a.1.A_5b3ac4c11a200b7f94e660ee"	"NA"	"NA"	6	165	"Wine"	"0.1115"
"YMR217W"	"12_525_2vxo.1.A_5b3dbe138fd6f9803ef0d315"	"NA"	"NA"	12	525	"Wine"	"0.5551"
"YMR217W"	"12_525_5tw7.1.A_5b3dbe138fd6f9803ef0d311"	"NA"	"NA"	12	525	"Wine"	"0.6261"
"YIL099W"	"72_545_1ayx.1.A_5b3e78761a200b9eb2cf7d72"	"NA"	"NA"	72	545	"Wine"	"0.2005"
"YER023W"	"2_281_5bse.1.A_5b3ba07f9ffd12cdd1d61d5c"	"NA"	"NA"	2	281	"Wine"	"0.17"
"YBL039C"	"1_271_3ihl.1.B_5b3f3bcb3b85d1cfbf8d236e"	"NA"	"NA"	1	271	"Wine"	"NA"
"YBL039C"	"1_559_1vco.1.A_5b3f3bcb3b85d1cfbf8d2369"	"NA"	"NA"	1	559	"Wine"	"0.9005"
